CCD1D200708_145649_x	CCD1D200708_145649_y
467.360873	0.000000	
467.490552	0.000000	
467.620231	0.000000	
467.749911	0.000000	
467.879590	0.000000	
468.009269	0.000000	
468.138948	0.000000	
468.268628	0.000000	
468.398307	0.000000	
468.527986	0.000000	
468.657666	0.000000	
468.787345	0.000000	
468.917024	0.000000	
469.046703	0.000000	
469.176383	0.000000	
469.306062	0.000000	
469.435741	0.000000	
469.565421	0.000000	
469.695100	0.000000	
469.824779	0.000000	
469.954458	0.000000	
470.084138	0.000000	
470.213817	0.000000	
470.343496	0.000000	
470.473176	0.000000	
470.602855	0.000000	
470.732534	0.000000	
470.862213	0.000000	
470.991893	0.000000	
471.121572	0.000000	
471.251251	0.000000	
471.380931	0.000000	
471.510610	0.000000	
471.640289	0.000000	
471.769968	0.000000	
471.899648	0.000000	
472.029327	0.000000	
472.159006	0.000000	
472.288686	0.000000	
472.418365	0.000000	
472.548044	0.000000	
472.677723	0.000000	
472.807403	0.000000	
472.937082	0.000000	
473.066761	0.000000	
473.196441	0.000000	
473.326120	0.000000	
473.455799	0.000000	
473.585478	0.000000	
473.715158	0.000000	
473.844837	0.000000	
473.974516	0.000000	
474.104196	0.000000	
474.233875	0.000000	
474.363554	0.000000	
474.493233	0.000000	
474.622913	0.000000	
474.752592	0.000000	
474.882271	0.000000	
475.011951	0.000000	
475.141630	0.000000	
475.271309	0.000000	
475.400988	0.000000	
475.530668	0.000000	
475.660347	0.000000	
475.790026	0.000000	
475.919706	0.000000	
476.049385	0.000000	
476.179064	0.000000	
476.308743	0.000000	
476.438423	0.000000	
476.568102	0.000000	
476.697781	0.000000	
476.827461	0.000000	
476.957140	0.000000	
477.086819	0.000000	
477.216499	0.000000	
477.346178	0.000000	
477.475857	0.000000	
477.605536	0.000000	
477.735216	0.000000	
477.864895	0.000000	
477.994574	0.000000	
478.124254	0.000000	
478.253933	0.000000	
478.383612	0.000000	
478.513291	0.000000	
478.642971	0.000000	
478.772650	0.000000	
478.902329	0.000000	
479.032009	0.000000	
479.161688	0.000000	
479.291367	0.000000	
479.421046	0.000000	
479.550726	0.000000	
479.680405	0.000000	
479.810084	0.000000	
479.939764	0.000000	
480.069443	0.000000	
480.199122	0.000000	
480.328801	0.000000	
480.458481	0.000000	
480.588160	0.000000	
480.717839	0.000000	
480.847519	0.000000	
480.977198	0.000000	
481.106877	0.000000	
481.236556	0.000000	
481.366236	0.000000	
481.495915	0.000000	
481.625594	0.000000	
481.755274	0.000000	
481.884953	0.000000	
482.014632	0.000000	
482.144311	0.000000	
482.273991	0.000000	
482.403670	0.000000	
482.533349	0.000000	
482.663029	0.000000	
482.792708	0.000000	
482.922387	0.000000	
483.052066	0.000000	
483.181746	0.000000	
483.311425	0.000000	
483.441104	0.000000	
483.570784	0.000000	
483.700463	0.000000	
483.830142	0.000000	
483.959821	0.000000	
484.089501	0.000000	
484.219180	0.000000	
484.348859	0.000000	
484.478539	0.000000	
484.608218	0.000000	
484.737897	0.000000	
484.867576	0.000000	
484.997256	0.000000	
485.126935	0.000000	
485.256614	0.000000	
485.386294	0.000000	
485.515973	0.000000	
485.645652	0.000000	
485.775331	0.000000	
485.905011	0.000000	
486.034690	0.000000	
486.164369	0.000000	
486.294049	0.000000	
486.423728	0.000000	
486.553407	0.000000	
486.683086	0.000000	
486.812766	0.000000	
486.942445	0.000000	
487.072124	0.000000	
487.201804	0.000000	
487.331483	0.000000	
487.461162	0.000000	
487.590841	0.000000	
487.720521	0.000000	
487.850200	0.000000	
487.979879	0.000000	
488.109559	0.000000	
488.239238	0.000000	
488.368917	0.000000	
488.498596	0.000000	
488.628276	0.000000	
488.757955	0.000000	
488.887634	0.000000	
489.017314	0.000000	
489.146993	0.000000	
489.276672	0.000000	
489.406351	0.000000	
489.536031	0.000000	
489.665710	0.000000	
489.795389	0.000000	
